# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-08-14 at 13:20:31
#
# Requested input R.A. = 306.0158333333333 degrees
# Requested input Dec. = 33.8675 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460171.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 687 11 3 ZTF_g 451513114315 0 2.4224 129.195 5.92941 26.2863 3.22612e-05 0.0424389 -0.104009 1.94166e-05 1918 30. 0.05415 0.047937 20.4736 26.2863 1 2458206.0131134 687120143 null null null null null null null null null null null null null 2458206.013113 2458258.975498 56,57
 1 687 11 3 ZTF_g 452483474315 0 2.0306 131.09 14.0057 26.2903 4.92546e-05 0.0449962 -0.0876018 3.32848e-05 1270 30. 0.053606 0.044335 19.6338 26.2903 1 2458206.9834722 687120143 null null null null null null null null null null null null null 2458206.013113 2458258.975498 56,57
 2 687 11 3 ZTF_g 452525054315 0 1.9588 134.708 10.0178 26.3069 3.8502e-05 0.0448423 -0.0766088 2.37865e-05 1715 30. 0.046662 0.043272 20.0846 26.3069 1 2458207.0250579 687120143 null null null null null null null null null null null null null 2458206.013113 2458258.975498 56,57
 3 687 11 3 ZTF_g 453464764315 0 2.1718 128.325 17.8541 26.2558 5.90949e-05 0.0448544 -0.0828063 4.36845e-05 945 30. 0.055263 0.051377 19.2588 26.2558 1 2458207.9647685 687120143 null null null null null null null null null null null null null 2458206.013113 2458258.975498 56,57
 4 1728 2 2 ZTF_g 488492960615 0 2.1587 500.292 10.5332 26.3113 5.68867e-05 0.0471867 -0.0598696 3.67215e-05 1201 30. 0.042736 0.047495 19.9427 26.3113 2 2458242.992963 1728120106 -76.28385458336 47.2286062213674 -1.79672785802894 0.917421119343089 -196.90597518686 85.5952564633049 -2.31592446181517 1.04502984549083 0.514137469539174 19.2440001487732 0.0829999968409538 5.21700000762939 0.296000003814697 2458242.992963 2458734.743438 0
 5 1728 2 2 ZTF_g 488493410615 0 2.3274 499.895 10.699 26.3122 5.94175e-05 0.0467264 -0.0601386 3.93191e-05 1098 30. 0.04485 0.049469 19.8497 26.3122 2 2458242.9934144 1728120106 -23.9301512518639 47.6168641007768 -0.55903558566317 1.04931313414426 -80.3325220239489 81.4905733561154 -0.99242848406877 1.05333821669503 0.514137469539174 19.2440001487732 0.0829999968409538 5.21700000762939 0.296000003814697 2458242.992963 2458734.743438 0
 6 1728 2 2 ZTF_r 516413470615 0 2.6417 455.016 12.152 26.1596 1.91821e-05 0.0314334 0.106466 1.12067e-05 1725 30. 0.073811 0.072724 19.5294 26.1596 2 2458270.9134722 1728120206 -69.8520319130978 62.1161169167881 -1.25092002862915 1.02808647582009 -111.206614905422 98.4925879661385 -1.13669058928132 1.07704056757485 0.644128059763593 17.1170000076294 0.0719999969005585 5.15999984741211 0.105999998748302 2458270.913472 2458722.833322 0
 7 1728 2 2 ZTF_r 516413920615 0 2.2717 458.248 12.0835 26.167 1.44321e-05 0.0270173 0.108289 8.44904e-06 1729 30. 0.058787 0.062248 19.7002 26.167 2 2458270.9139236 1728120206 -179.207772901649 54.3230783478536 -3.66967219673198 1.03622986565808 -188.557197340176 94.7773523124477 -2.00287448722021 1.06015030558668 0.644128059763593 17.1170000076294 0.0719999969005585 5.15999984741211 0.105999998748302 2458270.913472 2458722.833322 0
 8 1728 2 2 ZTF_r 517421850615 0 2.0185 473.223 10.5224 26.1906 1.17847e-05 0.0246086 0.117534 6.86889e-06 1723 30. 0.053439 0.052406 20.0239 26.1906 2 2458271.9218519 1728120206 -115.635636807045 42.02355241353 -3.06093237794162 1.12149909490635 -121.585540182776 78.2419652302763 -1.56443444935295 1.04766542641334 0.644128059763593 17.1170000076294 0.0719999969005585 5.15999984741211 0.105999998748302 2458270.913472 2458722.833322 0
