# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-08-14 at 14:30:05
#
# Requested input R.A. = 269.23833333333334 degrees
# Requested input Dec. = -25.10777777777778 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460171.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 282 8 1 ZTF_r 492431732915 0 2.7382 401.812 17.7486 26.169 1.13388e-05 0.0277245 0.128802 1.20689e-05 1748 30. 0.078616 0.088496 19.6227 26.169 1 2458246.9317361 282120229 70.5234742759164 55.3562445590287 1.41716977432792 1.47591882178624 100.606992345482 84.4386715687064 1.19950473338427 1.12393668478329 null null null null null 2458246.931736 2458307.797708 57
 1 282 8 1 ZTF_g 492488062915 0 2.5891 587.358 13.2063 26.0942 1.5009e-05 0.0318281 -0.0434985 1.60276e-05 1730 30. 0.058559 0.075656 19.643 26.0942 1 2458246.9880671 282120129 -19.0757856619135 46.7639282453411 -0.453760042280634 1.17570885076492 -28.483837437127 73.6400017578506 -0.389403544765993 1.08091818050871 null null null null null 2458246.988067 2458715.739965 57
 2 282 8 1 ZTF_r 495487012915 0 4.5748 361.144 21.5166 26.0963 1.9499e-05 0.0363852 0.122002 2.07354e-05 1692 30. 0.139759 0.150164 19.1333 26.0963 1 2458249.9870139 282120229 -9.626488664448 78.6337367228185 -0.13618014453037 0.90951903342789 -79.4094104639348 95.8659002666943 -0.833917349024227 1.26202006805668 null null null null null 2458246.931736 2458307.797708 57
 3 282 8 1 ZTF_r 502480002915 0 3.0498 393.835 21.7836 26.1656 5.9173e-06 0.0196514 0.111136 6.29772e-06 1720 30. 0.070711 0.088182 19.458 26.1656 1 2458256.98 282120229 -17.3475664504179 57.5469526257818 -0.335328935399272 1.00274583483089 -27.2171733940437 88.8047369408266 -0.308547534362362 1.07281262884492 null null null null null 2458246.931736 2458307.797708 57
 4 282 8 1 ZTF_r 503439372915 0 2.1974 386.784 18.2793 26.1205 1.11568e-05 0.0266046 0.127347 1.19017e-05 1703 30. 0.05604 0.073019 20.1625 26.1205 1 2458257.939375 282120229 -47.9560752059296 30.3777979682041 -1.75607129634653 1.73332305021253 -29.9072264801809 51.7565931505296 -0.58173561160925 1.08047057618749 null null null null null 2458246.931736 2458307.797708 57
 5 282 8 1 ZTF_r 509375552915 0 3.6006 402.907 30.0318 26.1583 1.35977e-05 0.0296583 0.132111 1.44576e-05 1684 30. 0.107196 0.115652 19.0472 26.1583 1 2458263.8755556 282120229 115.682068082046 88.0462284037415 1.46153792123906 1.15826139346877 184.405223419812 117.677522316289 1.57759272590995 1.15835751247893 null null null null null 2458246.931736 2458307.797708 57
 6 282 8 1 ZTF_r 519393272915 0 2.2222 407.956 19.6996 26.1861 6.7275e-06 0.0204106 0.119743 7.16111e-06 1671 30. 0.055854 0.064664 19.6269 26.1861 1 2458273.8932755 282120229 null null null null null null null null null null null null null 2458246.931736 2458307.797708 57,61
 7 282 8 1 ZTF_g 519445352915 0 2.7648 566.591 14.242 26.0844 2.06579e-05 0.0360992 -0.0784796 2.20287e-05 1651 30. 0.067455 0.082154 19.3328 26.0844 1 2458273.9453588 282120129 45.1899226000491 67.6927498869742 0.74259879770332 0.837397606927665 69.4013553664735 106.714330888074 0.654727222730266 1.0626828587304 null null null null null 2458246.988067 2458715.739965 57
 8 282 8 2 ZTF_r 520354383015 0 2.4035 141.771 13.3693 25.1542 0.00029824 0.130541 0.0329545 0.000328675 1482 30. 0.055802 0.061827 18.4292 25.1542 1 2458274.8543866 282120230 null null null null null null null null null null null null null 2458277.915521 2458307.804560 57,61
 9 282 8 2 ZTF_g 520378423015 0 2.5752 474.272 11.123 25.8572 4.14753e-05 0.0485874 -0.0797636 4.57287e-05 1468 30. 0.053103 0.077 19.4082 25.8572 1 2458274.8784259 282120130 null null null null null null null null null null null null null 2458246.988067 2458715.739965 57,61
 10 282 8 1 ZTF_g 523354512915 0 2.6796 559.692 8.13664 26.0963 1.07046e-05 0.0267221 -0.107847 1.14141e-05 1728 30. 0.050807 0.070961 20.0412 26.0963 1 2458277.8545139 282120129 17.858259634649 28.0403151842459 0.708452998632249 1.05675564178193 37.5284677431376 46.068220876727 0.820114678048509 1.05005850825649 null null null null null 2458246.988067 2458715.739965 57
 11 282 8 1 ZTF_r 523415522915 0 2.4799 382.124 18.3844 26.1161 5.739e-06 0.0195863 0.110678 6.11565e-06 1754 30. 0.056109 0.072484 19.551 26.1161 1 2458277.9155208 282120229 -45.4655283894663 49.4793207997337 -1.02214689652137 1.58128553849294 -10.4703256278553 85.1187164286341 -0.123836969301644 1.0631794991823 null null null null null 2458246.931736 2458307.797708 57
