HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457477.67201,2016-03-30.1690913,be,1.47,16.485,>16.485,99.990,0.116,0.195,V
2457477.67330,2016-03-30.1703825,be,1.51,16.453,>16.453,99.990,0.330,0.201,V
2457477.67460,2016-03-30.1716778,be,1.47,16.447,>16.447,99.990,0.238,0.202,V
2457478.66253,2016-03-31.1596896,be,1.44,16.718,>16.718,99.990,0.232,0.158,V
2457478.66382,2016-03-31.1609775,be,1.47,16.691,>16.691,99.990,0.420,0.162,V
2457478.66511,2016-03-31.1622628,be,1.48,16.674,>16.674,99.990,0.516,0.164,V
2457479.59166,2016-04-01.0888913,be,1.49,16.765,>16.765,99.990,0.217,0.151,V
2457479.59295,2016-04-01.0901776,be,1.49,16.794,>16.794,99.990,0.235,0.147,V
2457479.59424,2016-04-01.0914657,be,1.50,16.741,>16.741,99.990,0.690,0.154,V
2457481.81555,2016-04-03.3129487,ba,1.69,17.019,>17.019,99.990,0.062,0.120,V
2457481.81680,2016-04-03.3142013,ba,1.61,17.020,>17.020,99.990,0.274,0.119,V
2457481.81805,2016-04-03.3154534,ba,1.59,16.994,>16.994,99.990,0.255,0.122,V
2457485.63451,2016-04-07.1322233,be,1.54,16.723,>16.723,99.990,0.176,0.157,V
2457485.63579,2016-04-07.1335009,be,1.52,16.786,16.688,0.200,0.811,0.148,V
2457485.63708,2016-04-07.1347887,be,1.52,16.797,>16.797,99.990,0.006,0.147,V
2457486.51466,2016-04-08.0124458,be,1.55,16.786,>16.786,99.990,0.518,0.148,V
2457486.51598,2016-04-08.0137645,be,1.50,16.708,>16.708,99.990,0.553,0.159,V
2457486.51728,2016-04-08.0150653,be,1.60,16.901,>16.901,99.990,0.373,0.133,V
2457490.76434,2016-04-12.2624819,ba,1.78,16.889,>16.889,99.990,0.149,0.135,V
2457490.76559,2016-04-12.2637321,ba,1.81,16.774,>16.774,99.990,0.266,0.150,V
2457490.76686,2016-04-12.2650011,ba,1.80,16.769,>16.769,99.990,0.210,0.150,V
2457498.76967,2016-04-20.2685145,ba,1.64,15.844,>15.844,99.990,1.111,0.353,V
2457498.77092,2016-04-20.2697646,ba,1.67,15.982,>15.982,99.990,-0.073,0.310,V
2457498.77216,2016-04-20.2710103,ba,1.69,15.868,>15.868,99.990,0.071,0.345,V
2457501.76252,2016-04-23.2616334,ba,1.67,16.305,>16.305,99.990,0.500,0.231,V
2457501.76378,2016-04-23.2628906,ba,1.67,16.346,>16.346,99.990,0.609,0.222,V
2457501.76502,2016-04-23.2641402,ba,1.69,16.257,>16.257,99.990,0.069,0.241,V
2457530.51471,2016-05-22.0164168,be,1.46,15.848,>15.848,99.990,-0.066,0.351,V
2457530.51471,2016-05-22.0164164,bh,1.65,15.663,>15.663,99.990,0.461,0.417,V
2457530.51599,2016-05-22.0177043,be,1.42,15.852,>15.852,99.990,0.215,0.350,V
2457530.51729,2016-05-22.0189998,be,1.49,15.897,>15.897,99.990,0.408,0.336,V
2457536.50824,2016-05-28.0104601,be,1.54,16.659,>16.659,99.990,0.677,0.167,V
2457536.50953,2016-05-28.0117524,bh,1.47,16.486,>16.486,99.990,0.095,0.195,V
2457536.50953,2016-05-28.0117503,be,1.54,16.501,>16.501,99.990,0.402,0.193,V
2457536.51081,2016-05-28.0130359,be,1.49,16.750,>16.750,99.990,0.543,0.153,V
2457649.90064,2016-09-18.4045880,be,1.48,15.595,>15.595,99.990,0.856,0.444,V
2457649.90192,2016-09-18.4058627,be,1.58,15.375,>15.375,99.990,0.937,0.543,V
2457649.90321,2016-09-18.4071521,be,1.61,15.308,>15.308,99.990,-0.200,0.578,V
2457652.13305,2016-09-20.6368486,ba,1.92,99.990,99.990,99.990,99.990,99.990,V
2457654.12935,2016-09-22.6330153,ba,1.70,16.374,>16.374,99.990,0.142,0.216,V
2457654.13060,2016-09-22.6342677,ba,1.72,16.085,>16.085,99.990,0.301,0.282,V
2457654.13184,2016-09-22.6355079,ba,1.74,15.927,>15.927,99.990,0.014,0.327,V
2457659.89970,2016-09-28.4029593,be,1.66,15.003,>15.003,99.990,-0.106,0.765,V
2457660.88597,2016-09-29.3891506,be,1.69,16.380,>16.380,99.990,0.205,0.215,V
2457660.88727,2016-09-29.3904501,be,1.66,16.370,>16.370,99.990,0.592,0.217,V
