HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458130.04127,2018-01-11.5363832,ba,1.64,16.577,>16.577,99.990,0.664,0.180,V
2458130.46708,2018-01-11.9621791,bm,1.48,17.594,17.304,0.168,0.435,0.067,g
2458130.46830,2018-01-11.9633990,bm,1.49,17.556,16.825,0.112,0.676,0.069,g
2458130.46952,2018-01-11.9646180,bm,1.48,17.710,17.592,0.197,0.334,0.060,g
2458130.71215,2018-01-12.2072447,bq,1.56,17.439,17.064,0.155,0.543,0.077,g
2458130.71338,2018-01-12.2084650,bq,1.47,17.361,17.064,0.166,0.543,0.083,g
2458130.71459,2018-01-12.2096809,bq,1.51,17.338,>17.338,99.990,0.370,0.084,g
2458131.48904,2018-01-12.9841015,bm,1.56,17.597,17.330,0.171,0.425,0.066,g
2458131.49027,2018-01-12.9853365,bm,1.51,17.634,17.375,0.173,0.408,0.064,g
2458131.49150,2018-01-12.9865593,bm,1.63,17.451,16.815,0.122,0.682,0.076,g
2458132.02804,2018-01-13.5230787,ba,1.65,17.097,>17.097,99.990,0.442,0.111,V
2458132.02930,2018-01-13.5243423,ba,1.66,17.138,>17.138,99.990,0.480,0.107,V
2458132.03057,2018-01-13.5256197,ba,1.68,16.959,>16.959,99.990,0.364,0.126,V
2458132.43479,2018-01-13.9298127,bm,1.58,17.567,>17.567,99.990,0.340,0.068,g
2458132.43599,2018-01-13.9310245,bm,1.59,17.468,17.257,0.180,0.454,0.075,g
2458132.43722,2018-01-13.9322538,bm,1.55,17.502,17.120,0.154,0.515,0.073,g
2458132.69460,2018-01-14.1896211,bi,1.75,17.201,>17.201,99.990,0.164,0.096,g
2458132.69582,2018-01-14.1908346,bi,1.84,17.170,>17.170,99.990,0.465,0.098,g
2458132.69703,2018-01-14.1920533,bi,1.78,17.161,>17.161,99.990,0.352,0.099,g
2458132.70371,2018-01-14.1987375,bq,1.80,17.471,>17.471,99.990,0.330,0.075,g
2458132.70494,2018-01-14.1999659,bq,1.75,17.414,16.943,0.142,0.606,0.079,g
2458132.70616,2018-01-14.2011884,bq,1.71,17.276,16.948,0.162,0.603,0.089,g
2458132.85027,2018-01-14.3452930,ba,1.76,17.169,17.097,0.205,0.556,0.104,V
2458132.85155,2018-01-14.3465682,ba,1.74,16.975,>16.975,99.990,0.332,0.124,V
2458132.85281,2018-01-14.3478309,ba,1.70,16.898,16.795,0.199,0.735,0.134,V
2458133.49146,2018-01-14.9864612,bm,2.44,17.458,17.380,0.204,0.406,0.076,g
2458133.49274,2018-01-14.9877372,bm,2.37,17.463,17.104,0.157,0.523,0.075,g
2458133.49398,2018-01-14.9889761,bm,2.28,17.549,>17.549,99.990,0.297,0.069,g
2458133.69470,2018-01-15.1896983,bi,1.74,17.256,17.197,0.208,0.480,0.091,g
2458133.69592,2018-01-15.1909119,bi,1.77,17.367,17.191,0.186,0.483,0.082,g
2458133.69715,2018-01-15.1921350,bi,1.72,17.273,17.085,0.184,0.532,0.090,g
2458133.70798,2018-01-15.2029715,bq,1.74,17.308,>17.308,99.990,0.386,0.087,g
2458133.70920,2018-01-15.2041918,bq,1.76,17.225,>17.225,99.990,0.359,0.094,g
2458133.71042,2018-01-15.2054107,bq,1.80,17.186,17.003,0.185,0.574,0.097,g
2458134.44341,2018-01-15.9383783,bm,1.65,17.563,17.201,0.157,0.478,0.069,g
2458134.44463,2018-01-15.9395974,bm,1.59,17.479,16.851,0.123,0.660,0.074,g
2458134.44584,2018-01-15.9408138,bm,1.63,17.499,>17.499,99.990,0.362,0.073,g
2458134.69080,2018-01-16.1857694,bi,1.40,17.453,16.937,0.136,0.610,0.076,g
2458134.69202,2018-01-16.1869908,bi,1.40,17.322,17.027,0.167,0.561,0.086,g
2458134.69325,2018-01-16.1882096,bi,1.46,17.435,17.368,0.206,0.410,0.077,g
2458134.84471,2018-01-16.3396774,ba,1.67,16.982,>16.982,99.990,0.568,0.124,V
2458134.84599,2018-01-16.3409501,ba,1.70,16.940,>16.940,99.990,0.434,0.129,V
2458134.84726,2018-01-16.3422223,ba,1.77,17.054,>17.054,99.990,0.128,0.116,V
2458135.44160,2018-01-16.9365417,bm,1.57,17.628,17.381,0.174,0.405,0.065,g
2458135.44281,2018-01-16.9377569,bm,1.59,17.603,17.213,0.153,0.473,0.066,g
2458135.44412,2018-01-16.9390612,bm,1.64,17.645,17.367,0.170,0.410,0.064,g
2458135.69004,2018-01-17.1849812,bi,1.49,17.337,>17.337,99.990,0.414,0.084,g
2458135.69127,2018-01-17.1862096,bi,1.41,17.388,>17.388,99.990,0.363,0.081,g
2458135.69250,2018-01-17.1874380,bi,1.39,17.402,>17.402,99.990,0.372,0.080,g
2458135.83854,2018-01-17.3334763,ba,2.13,16.783,16.655,0.195,0.836,0.149,V
2458135.83982,2018-01-17.3347565,ba,2.04,16.956,>16.956,99.990,0.330,0.127,V
2458135.84110,2018-01-17.3360364,ba,2.15,17.018,>17.018,99.990,0.362,0.120,V
2458136.50556,2018-01-18.0004773,bm,1.51,17.458,17.112,0.159,0.519,0.075,g
2458136.68464,2018-01-18.1795462,bi,1.43,17.476,16.909,0.130,0.626,0.074,g
2458136.68585,2018-01-18.1807600,bi,1.42,17.473,>17.473,99.990,0.240,0.074,g
2458136.68706,2018-01-18.1819773,bi,1.46,17.420,17.081,0.160,0.534,0.078,g
2458136.83217,2018-01-18.3270740,ba,2.14,16.833,>16.833,99.990,0.477,0.142,V
2458136.83343,2018-01-18.3283413,ba,2.31,16.649,>16.649,99.990,0.347,0.168,V
2458136.83471,2018-01-18.3296182,ba,2.32,16.882,>16.882,99.990,0.239,0.136,V
2458137.69355,2018-01-19.1884407,bq,2.11,17.366,17.143,0.178,0.505,0.082,g
2458137.69477,2018-01-19.1896562,bq,2.14,17.305,16.991,0.164,0.580,0.087,g
2458137.69600,2018-01-19.1908870,bq,2.21,17.500,17.404,0.201,0.397,0.073,g
2458137.69683,2018-01-19.1917217,bi,1.37,17.423,17.162,0.172,0.496,0.078,g
2458137.69806,2018-01-19.1929516,bi,1.36,17.568,16.922,0.121,0.618,0.068,g
2458137.69928,2018-01-19.1941692,bi,1.39,17.474,17.174,0.166,0.490,0.074,g
2458137.83798,2018-01-19.3328651,ba,2.23,16.746,>16.746,99.990,0.698,0.154,V
2458137.83926,2018-01-19.3341466,ba,2.24,16.774,>16.774,99.990,0.452,0.150,V
2458137.84057,2018-01-19.3354562,ba,2.26,16.646,>16.646,99.990,0.379,0.168,V
2458138.69091,2018-01-20.1857709,bq,2.36,17.225,>17.225,99.990,0.448,0.094,g
2458138.69212,2018-01-20.1869884,bq,2.39,17.113,>17.113,99.990,0.477,0.104,g
2458138.69334,2018-01-20.1882059,bq,2.30,17.216,17.075,0.192,0.537,0.094,g
2458138.69655,2018-01-20.1914109,bi,1.49,17.405,16.852,0.132,0.660,0.079,g
2458138.69776,2018-01-20.1926260,bi,1.41,17.338,17.104,0.177,0.523,0.084,g
2458138.69898,2018-01-20.1938425,bi,1.38,17.514,17.385,0.195,0.404,0.072,g
2458138.83411,2018-01-20.3289775,ba,1.70,16.962,>16.962,99.990,0.415,0.126,V
2458138.83539,2018-01-20.3302474,ba,1.65,16.954,16.706,0.174,0.797,0.127,V
2458138.83667,2018-01-20.3315310,ba,1.65,16.801,>16.801,99.990,0.471,0.146,V
2458139.69009,2018-01-21.1849312,bq,1.54,17.295,17.003,0.167,0.574,0.088,g
2458139.69130,2018-01-21.1861458,bq,1.54,17.349,16.820,0.135,0.679,0.083,g
2458139.69253,2018-01-21.1873703,bq,1.48,17.292,>17.292,99.990,0.337,0.088,g
2458141.67255,2018-01-23.1673530,bq,1.55,16.430,>16.430,99.990,0.014,0.195,g
2458141.67377,2018-01-23.1685765,bq,1.53,16.702,>16.702,99.990,0.632,0.151,g
2458141.67499,2018-01-23.1697931,bq,1.48,16.702,>16.702,99.990,0.557,0.151,g
2458141.82384,2018-01-23.3186484,ba,1.74,16.814,>16.814,99.990,0.407,0.144,V
2458141.82512,2018-01-23.3199263,ba,1.68,16.790,>16.790,99.990,0.452,0.148,V
2458141.82639,2018-01-23.3211983,ba,1.68,16.612,>16.612,99.990,0.353,0.174,V
2458142.66991,2018-01-24.1647041,bq,1.55,16.949,16.646,0.166,0.797,0.121,g
2458142.67113,2018-01-24.1659206,bq,1.55,16.958,16.793,0.188,0.697,0.120,g
2458142.67235,2018-01-24.1671386,bq,1.55,16.921,>16.921,99.990,0.339,0.124,g
2458143.66661,2018-01-25.1613853,bq,1.51,16.781,>16.781,99.990,0.608,0.141,g
2458143.66783,2018-01-25.1626074,bq,1.50,16.720,>16.720,99.990,0.603,0.149,g
2458143.66905,2018-01-25.1638228,bq,1.56,16.849,>16.849,99.990,0.135,0.132,g
2458143.72824,2018-01-25.2230203,bi,1.39,17.404,17.104,0.166,0.523,0.079,g
2458143.72946,2018-01-25.2242362,bi,1.44,17.474,>17.474,99.990,0.296,0.074,g
2458143.73068,2018-01-25.2254513,bi,1.38,17.413,17.095,0.164,0.527,0.079,g
2458143.80162,2018-01-25.2963974,ba,1.69,16.441,>16.441,99.990,0.871,0.204,V
2458143.80289,2018-01-25.2976664,ba,1.68,16.406,>16.406,99.990,0.398,0.210,V
2458143.80417,2018-01-25.2989503,ba,1.68,16.441,>16.441,99.990,0.614,0.203,V
2458144.66342,2018-01-26.1581910,bq,1.76,16.561,>16.561,99.990,0.553,0.172,g
2458144.66472,2018-01-26.1594865,bq,1.67,16.684,>16.684,99.990,0.528,0.154,g
2458144.66598,2018-01-26.1607519,bq,1.66,16.687,16.636,0.209,0.805,0.154,g
2458145.55466,2018-01-27.0494225,bi,1.48,16.347,>16.347,99.990,0.473,0.210,g
2458145.55589,2018-01-27.0506456,bi,1.42,16.324,>16.324,99.990,0.577,0.214,g
2458145.55710,2018-01-27.0518604,bi,1.41,16.244,>16.244,99.990,0.718,0.231,g
2458145.65982,2018-01-27.1545776,bq,2.12,16.275,>16.275,99.990,-0.085,0.224,g
2458145.66105,2018-01-27.1558053,bq,2.09,16.423,>16.423,99.990,0.047,0.196,g
2458145.66227,2018-01-27.1570290,bq,2.14,16.172,>16.172,99.990,0.144,0.247,g
2458145.81025,2018-01-27.3050101,ba,1.62,16.154,>16.154,99.990,0.935,0.265,V
2458145.81153,2018-01-27.3062826,ba,1.60,16.119,>16.119,99.990,0.335,0.274,V
2458145.81279,2018-01-27.3075489,ba,1.58,16.219,>16.219,99.990,0.313,0.250,V
2458146.30758,2018-01-27.8023363,bm,1.60,16.423,>16.423,99.990,0.359,0.196,g
2458146.30880,2018-01-27.8035550,bm,1.59,16.347,>16.347,99.990,0.122,0.210,g
2458146.31002,2018-01-27.804775,bm,1.61,16.465,>16.465,99.990,0.680,0.188,g
2458146.55766,2018-01-28.0524062,bi,1.58,16.359,>16.359,99.990,0.398,0.208,g
2458146.55889,2018-01-28.0536333,bi,1.49,16.004,>16.004,99.990,0.162,0.288,g
2458146.56010,2018-01-28.0548474,bi,1.53,16.074,>16.074,99.990,0.511,0.270,g
2458146.65696,2018-01-28.1517030,bq,1.57,16.151,>16.151,99.990,0.325,0.252,g
2458146.65817,2018-01-28.1529201,bq,1.59,16.228,>16.228,99.990,1.114,0.234,g
2458146.65940,2018-01-28.1541398,bq,1.60,16.162,>16.162,99.990,0.480,0.249,g
2458147.32612,2018-01-28.8208576,bm,2.03,16.293,>16.293,99.990,0.275,0.221,g
2458147.32742,2018-01-28.8221552,bm,2.05,16.330,>16.330,99.990,0.340,0.213,g
2458147.32884,2018-01-28.8235848,bm,2.01,16.286,>16.286,99.990,0.922,0.222,g
2458147.66029,2018-01-29.1550231,bq,1.77,15.933,>15.933,99.990,1.283,0.308,g
2458147.66151,2018-01-29.1562524,bq,1.58,16.081,>16.081,99.990,0.603,0.268,g
2458147.66273,2018-01-29.1574737,bq,1.60,16.100,>16.100,99.990,0.105,0.264,g
2458147.78320,2018-01-29.2779351,bi,1.57,16.460,>16.460,99.990,0.424,0.189,g
2458147.78441,2018-01-29.2791515,bi,1.57,16.266,>16.266,99.990,0.252,0.226,g
2458147.78564,2018-01-29.2803729,bi,1.44,16.236,>16.236,99.990,0.344,0.233,g
2458147.80302,2018-01-29.2977546,ba,2.26,13.849,>13.849,99.990,-0.865,2.214,V
2458147.80429,2018-01-29.2990277,ba,1.97,14.459,>14.459,99.990,2.064,1.262,V
2458148.37310,2018-01-29.8678355,bm,1.75,16.076,>16.076,99.990,0.422,0.270,g
2458148.37433,2018-01-29.8690603,bm,1.70,16.098,>16.098,99.990,1.148,0.264,g
2458148.37553,2018-01-29.8702710,bm,1.85,16.105,>16.105,99.990,0.865,0.263,g
2458148.65079,2018-01-30.1455311,bq,1.69,15.713,>15.713,99.990,-0.244,0.377,g
2458148.65202,2018-01-30.1467501,bq,1.62,15.585,>15.585,99.990,0.500,0.424,g
2458148.65324,2018-01-30.1479667,bq,1.60,15.664,>15.664,99.990,1.041,0.394,g
2458148.71878,2018-01-30.2135128,bi,1.69,16.087,>16.087,99.990,0.401,0.267,g
2458148.72000,2018-01-30.2147303,bi,1.73,15.993,>15.993,99.990,-0.247,0.291,g
2458148.72122,2018-01-30.2159579,bi,1.68,15.992,>15.992,99.990,0.204,0.291,g
2458148.83825,2018-01-30.3329809,ba,1.72,15.439,>15.439,99.990,0.985,0.512,V
2458148.83954,2018-01-30.3342731,ba,1.84,15.458,>15.458,99.990,0.509,0.503,V
2458148.84081,2018-01-30.3355375,ba,1.70,15.756,>15.756,99.990,0.254,0.382,V
2458151.40296,2018-02-01.8976853,bm,1.51,16.225,>16.225,99.990,0.314,0.235,g
2458151.40421,2018-02-01.8989391,bm,1.55,16.190,>16.190,99.990,1.107,0.243,g
2458151.40543,2018-02-01.9001547,bm,1.64,16.122,>16.122,99.990,0.556,0.258,g
2458152.37079,2018-02-02.8655131,bm,1.66,16.251,>16.251,99.990,0.625,0.229,g
2458152.37200,2018-02-02.8667199,bm,1.68,16.324,>16.324,99.990,0.123,0.214,g
2458152.37320,2018-02-02.8679234,bm,1.65,16.349,>16.349,99.990,0.707,0.210,g
2458152.63973,2018-02-03.1344517,bi,1.45,16.514,>16.514,99.990,0.701,0.180,g
2458152.64095,2018-02-03.1356751,bi,1.45,16.373,>16.373,99.990,0.816,0.205,g
2458152.64218,2018-02-03.1369057,bi,1.52,16.228,>16.228,99.990,0.917,0.234,g
2458153.63318,2018-02-04.1279026,be,1.42,16.089,>16.089,99.990,0.665,0.281,V
2458153.63445,2018-02-04.1291746,be,1.40,16.161,>16.161,99.990,0.119,0.263,V
2458153.63445,2018-02-04.129175,bh,1.40,15.880,>15.880,99.990,0.366,0.341,V
2458153.63572,2018-02-04.1304498,be,1.38,16.188,>16.188,99.990,0.685,0.257,V
2458153.80931,2018-02-04.3040368,bq,1.59,16.728,>16.728,99.990,0.433,0.148,g
2458153.81054,2018-02-04.3052699,bq,1.57,16.684,>16.684,99.990,0.479,0.154,g
2458153.81176,2018-02-04.3064843,bq,1.60,16.748,16.698,0.209,0.760,0.145,g
2458154.63918,2018-02-05.1339128,bq,1.55,17.371,17.074,0.167,0.537,0.082,g
2458154.64041,2018-02-05.1351362,bq,1.54,17.401,17.141,0.172,0.506,0.080,g
2458154.64164,2018-02-05.1363658,bq,1.56,17.537,17.236,0.166,0.463,0.070,g
2458155.63502,2018-02-06.1297586,bq,1.51,17.245,16.958,0.168,0.598,0.092,g
2458155.63624,2018-02-06.1309791,bq,1.47,17.243,>17.243,99.990,0.445,0.092,g
2458155.63746,2018-02-06.1321982,bq,1.49,17.235,>17.235,99.990,0.405,0.093,g
2458156.63079,2018-02-07.1255327,bq,1.50,16.434,>16.434,99.990,0.713,0.194,g
2458156.63201,2018-02-07.1267518,bq,1.46,16.303,>16.303,99.990,0.691,0.219,g
2458156.63323,2018-02-07.1279671,bq,1.50,16.039,>16.039,99.990,0.274,0.279,g
2458157.63241,2018-02-08.1271616,bq,2.11,16.961,>16.961,99.990,0.443,0.119,g
2458157.63364,2018-02-08.1283923,bq,2.04,16.870,>16.870,99.990,0.486,0.130,g
2458157.63486,2018-02-08.1296056,bq,2.04,17.142,17.132,0.217,0.510,0.101,g
2458157.73571,2018-02-08.2304575,bi,1.68,17.049,>17.049,99.990,0.504,0.110,g
2458157.73692,2018-02-08.2316721,bi,1.65,17.036,16.946,0.202,0.604,0.111,g
2458157.73814,2018-02-08.2328945,bi,1.68,16.993,>16.993,99.990,0.230,0.116,g
2458158.62568,2018-02-09.1204428,bq,1.56,15.221,>15.221,99.990,1.220,0.593,g
2458158.62690,2018-02-09.1216592,bq,1.65,15.459,>15.459,99.990,-1.172,0.476,g
2458158.62812,2018-02-09.1228821,bq,1.64,15.766,>15.766,99.990,0.089,0.359,g
2458158.67285,2018-02-09.1676103,bi,1.53,17.310,>17.310,99.990,0.366,0.086,g
2458158.67406,2018-02-09.1688313,bi,1.61,17.304,17.091,0.180,0.529,0.087,g
2458158.67528,2018-02-09.1700489,bi,1.56,17.196,16.953,0.175,0.601,0.096,g
2458159.62285,2018-02-10.1176218,bq,1.68,16.909,>16.909,99.990,0.524,0.125,g
2458159.62407,2018-02-10.1188408,bq,1.71,16.847,>16.847,99.990,0.177,0.133,g
2458159.62529,2018-02-10.1200562,bq,1.69,16.697,16.655,0.211,0.791,0.152,g
2458159.66859,2018-02-10.1633618,bi,1.46,17.444,17.418,0.214,0.392,0.076,g
2458159.66981,2018-02-10.1645814,bi,1.44,17.346,16.896,0.145,0.633,0.084,g
2458159.67103,2018-02-10.1658010,bi,1.41,17.393,17.215,0.186,0.472,0.080,g
2458160.62003,2018-02-11.1148119,bq,2.07,16.154,>16.154,99.990,1.040,0.251,g
2458160.62124,2018-02-11.1160259,bq,2.02,15.836,>15.836,99.990,0.306,0.336,g
2458160.62246,2018-02-11.1172447,bq,2.02,15.866,>15.866,99.990,-0.026,0.327,g
2458161.61661,2018-02-12.1114162,bq,1.59,15.831,>15.831,99.990,-0.215,0.338,g
2458161.61783,2018-02-12.1126328,bq,1.58,16.580,>16.580,99.990,0.424,0.170,g
2458161.61905,2018-02-12.1138540,bq,1.55,16.977,>16.977,99.990,0.342,0.118,g
2458161.66305,2018-02-12.1578512,bi,1.42,17.352,17.160,0.184,0.497,0.083,g
2458161.66428,2018-02-12.1590778,bi,1.40,17.281,17.143,0.193,0.504,0.089,g
2458161.66551,2018-02-12.1603093,bi,1.41,17.424,17.148,0.170,0.502,0.078,g
2458161.97203,2018-02-12.4668418,ba,1.66,16.934,>16.934,99.990,0.499,0.129,V
2458161.97331,2018-02-12.4681128,ba,1.65,16.872,>16.872,99.990,0.561,0.137,V
2458161.97460,2018-02-12.4694032,ba,1.66,16.954,16.843,0.198,0.703,0.127,V
2458162.61345,2018-02-13.1082629,bq,1.57,17.311,>17.311,99.990,0.388,0.086,g
2458162.61467,2018-02-13.1094892,bq,1.51,17.244,>17.244,99.990,0.299,0.092,g
2458162.61590,2018-02-13.1107175,bq,1.57,17.236,17.213,0.214,0.473,0.093,g
2458162.64823,2018-02-13.1430464,bi,1.40,17.376,17.254,0.196,0.455,0.081,g
2458162.64945,2018-02-13.1442625,bi,1.39,17.439,17.412,0.214,0.394,0.077,g
2458162.65066,2018-02-13.1454824,bi,1.40,17.364,16.955,0.150,0.600,0.082,g
2458163.61035,2018-02-14.1051844,bq,1.66,17.504,17.338,0.188,0.422,0.072,g
2458163.61157,2018-02-14.1064045,bq,1.71,17.272,17.161,0.198,0.496,0.090,g
2458163.61278,2018-02-14.1076234,bq,1.74,17.283,16.906,0.155,0.627,0.089,g
2458163.65427,2018-02-14.1491008,bi,1.37,17.248,17.108,0.193,0.521,0.092,g
2458163.65549,2018-02-14.1503209,bi,1.40,17.337,>17.337,99.990,0.381,0.084,g
2458163.65671,2018-02-14.1515414,bi,1.38,17.309,17.140,0.187,0.506,0.087,g
2458164.63766,2018-02-15.1325127,bq,2.45,99.990,99.990,99.990,99.990,99.990,g
2458164.63887,2018-02-15.1337271,bq,2.46,17.093,>17.093,99.990,0.279,0.106,g
2458164.64282,2018-02-15.1376853,bi,1.47,17.216,16.694,0.135,0.763,0.094,g
2458164.64404,2018-02-15.1389038,bi,1.40,17.479,17.128,0.159,0.512,0.074,g
2458164.64527,2018-02-15.1401238,bi,1.38,17.318,17.156,0.189,0.499,0.086,g
2458166.63134,2018-02-17.1262346,bq,1.49,17.037,17.024,0.217,0.563,0.111,g
2458166.63255,2018-02-17.1274497,bq,1.50,17.016,16.954,0.207,0.600,0.113,g
2458166.63377,2018-02-17.1286653,bq,1.48,15.714,>15.714,99.990,0.433,0.376,g
2458166.64380,2018-02-17.1386959,be,1.44,16.706,>16.706,99.990,0.757,0.159,V
2458166.64507,2018-02-17.1399756,be,1.42,16.784,>16.784,99.990,0.308,0.148,V
2458166.64508,2018-02-17.1399762,bh,1.36,16.427,>16.427,99.990,0.211,0.206,V
2458166.64634,2018-02-17.1412390,be,1.37,16.607,>16.607,99.990,0.403,0.175,V
2458169.55221,2018-02-20.0471901,be,1.37,16.533,>16.533,99.990,0.685,0.187,V
2458169.55349,2018-02-20.0484596,bh,1.38,16.268,>16.268,99.990,0.854,0.239,V
2458169.55349,2018-02-20.0484611,be,1.41,16.579,>16.579,99.990,0.231,0.179,V
2458169.55476,2018-02-20.0497370,be,1.36,16.803,>16.803,99.990,0.559,0.146,V
2458169.59365,2018-02-20.0886241,bq,1.87,99.990,99.990,99.990,99.990,99.990,g
2458170.58842,2018-02-21.0834212,bq,1.63,17.004,>17.004,99.990,0.537,0.115,g
2458170.58963,2018-02-21.0846387,bq,1.62,17.170,>17.170,99.990,0.299,0.098,g
2458170.63581,2018-02-21.1308189,bi,1.46,17.191,17.061,0.194,0.544,0.097,g
2458170.63704,2018-02-21.1320466,bi,1.49,17.276,17.076,0.182,0.537,0.089,g
2458170.63826,2018-02-21.1332581,bi,1.44,17.230,16.940,0.168,0.608,0.093,g
2458171.58825,2018-02-22.0832825,bq,1.72,16.984,>16.984,99.990,0.332,0.117,g
2458171.58946,2018-02-22.0844962,bq,1.74,17.032,>17.032,99.990,0.557,0.112,g
2458171.59068,2018-02-22.0857106,bq,1.76,16.900,>16.900,99.990,0.520,0.126,g
2458172.55226,2018-02-23.0473262,bi,1.41,16.885,16.871,0.216,0.648,0.128,g
2458172.55348,2018-02-23.0485457,bi,1.38,16.901,16.842,0.208,0.665,0.126,g
2458172.55470,2018-02-23.0497641,bi,1.42,16.996,>16.996,99.990,0.440,0.116,g
2458173.58818,2018-02-24.0832840,bi,1.42,17.006,>17.006,99.990,0.296,0.115,g
2458173.58903,2018-02-24.0841322,bq,1.63,16.554,>16.554,99.990,0.642,0.174,g
2458173.58942,2018-02-24.0845211,bi,1.43,16.819,>16.819,99.990,0.283,0.136,g
2458173.59026,2018-02-24.0853603,bq,1.61,16.588,>16.588,99.990,0.551,0.168,g
2458173.59064,2018-02-24.0857366,bi,1.42,16.875,>16.875,99.990,0.491,0.129,g
2458173.59148,2018-02-24.0865766,bq,1.61,16.572,>16.572,99.990,0.468,0.171,g
2458174.60055,2018-02-25.0956921,bq,1.62,16.734,>16.734,99.990,0.535,0.147,g
2458174.60177,2018-02-25.0969104,bq,1.61,16.494,>16.494,99.990,0.678,0.183,g
2458174.60313,2018-02-25.0982751,bq,1.61,16.612,>16.612,99.990,0.450,0.165,g
2458175.58247,2018-02-26.0776424,bq,1.68,15.926,>15.926,99.990,0.574,0.309,g
2458175.58370,2018-02-26.0788716,bq,1.74,16.065,>16.065,99.990,0.041,0.272,g
2458175.58493,2018-02-26.0800998,bq,1.64,16.069,>16.069,99.990,1.185,0.271,g
2458175.76422,2018-02-26.2594057,bi,1.55,16.626,>16.626,99.990,0.432,0.162,g
2458175.76545,2018-02-26.2606328,bi,1.56,16.659,16.641,0.216,0.801,0.158,g
2458175.76667,2018-02-26.2618513,bi,1.54,16.694,>16.694,99.990,0.501,0.153,g
2458176.37827,2018-02-26.8734695,bm,1.61,16.550,>16.550,99.990,0.535,0.174,g
2458176.37947,2018-02-26.8746756,bm,1.58,16.591,>16.591,99.990,0.581,0.168,g
2458176.38068,2018-02-26.8758819,bm,1.65,16.597,>16.597,99.990,0.537,0.167,g
2458179.72452,2018-03-02.2198543,be,1.47,15.048,>15.048,99.990,-1.857,0.734,V
2458179.72579,2018-03-02.2211317,be,1.54,15.083,>15.083,99.990,-2.443,0.711,V
2458179.72706,2018-03-02.2224037,be,1.52,15.060,>15.060,99.990,-0.472,0.726,V
2458180.31344,2018-03-02.8088054,bm,1.57,16.384,>16.384,99.990,0.321,0.203,g
2458180.31477,2018-03-02.8101380,bm,1.54,16.143,>16.143,99.990,0.339,0.253,g
2458180.31611,2018-03-02.8114741,bm,1.51,16.355,>16.355,99.990,0.309,0.208,g
2458180.54535,2018-03-03.0407231,bi,1.47,16.262,>16.262,99.990,0.258,0.227,g
2458180.54657,2018-03-03.0419439,bi,1.46,16.087,>16.087,99.990,0.316,0.267,g
2458180.54778,2018-03-03.0431644,bi,1.48,16.205,>16.205,99.990,0.308,0.239,g
2458180.62551,2018-03-03.1208865,bq,2.06,16.115,>16.115,99.990,0.724,0.260,g
2458180.62672,2018-03-03.1220995,bq,2.07,16.193,>16.193,99.990,0.464,0.242,g
2458180.62793,2018-03-03.1233092,bq,2.09,16.092,>16.092,99.990,-0.052,0.266,g
2458181.51092,2018-03-04.0063393,bi,1.55,16.427,>16.427,99.990,0.343,0.195,g
2458181.51214,2018-03-04.0075564,bi,1.56,16.545,>16.545,99.990,0.674,0.175,g
2458181.51336,2018-03-04.0087761,bi,1.52,16.703,16.693,0.217,0.763,0.151,g
2458182.52576,2018-03-05.0212237,be,1.45,16.564,>16.564,99.990,0.312,0.182,V
2458182.52703,2018-03-05.0224973,bh,1.39,16.296,>16.296,99.990,0.593,0.233,V
2458182.52703,2018-03-05.0224973,be,1.42,16.550,>16.550,99.990,0.716,0.184,V
2458182.52830,2018-03-05.0237628,be,1.43,16.544,>16.544,99.990,0.419,0.185,V
2458182.52830,2018-03-05.0237633,bh,1.41,16.221,>16.221,99.990,0.513,0.249,V
2458184.64945,2018-03-07.1450158,bi,1.42,16.794,>16.794,99.990,0.414,0.139,g
2458184.65067,2018-03-07.1462403,bi,1.40,16.948,>16.948,99.990,0.472,0.121,g
2458184.65189,2018-03-07.1474596,bi,1.44,17.017,>17.017,99.990,0.412,0.113,g
2458185.64901,2018-03-08.1446285,bi,1.50,17.134,16.941,0.183,0.608,0.102,g
2458185.65024,2018-03-08.1458579,bi,1.49,17.046,>17.046,99.990,0.380,0.110,g
2458185.65145,2018-03-08.1470752,bi,1.49,17.074,>17.074,99.990,0.506,0.107,g
2458186.63521,2018-03-09.1308766,bi,1.51,17.314,17.024,0.168,0.563,0.086,g
2458186.63642,2018-03-09.1320951,bi,1.54,17.274,17.077,0.183,0.536,0.089,g
2458186.63765,2018-03-09.1333222,bi,1.55,17.236,>17.236,99.990,0.442,0.093,g
2458188.60148,2018-03-11.0972565,bi,1.39,17.432,17.191,0.176,0.482,0.077,g
2458188.60270,2018-03-11.0984738,bi,1.39,17.386,>17.386,99.990,0.347,0.081,g
2458188.60391,2018-03-11.0996900,bi,1.37,17.232,17.090,0.192,0.530,0.093,g
2458190.35071,2018-03-12.8465857,bm,2.15,17.577,17.215,0.157,0.472,0.068,g
2458190.35192,2018-03-12.8477983,bm,2.19,17.542,16.864,0.117,0.652,0.070,g
2458190.35314,2018-03-12.8490196,bm,2.18,17.472,17.123,0.159,0.514,0.075,g
2458190.60318,2018-03-13.0990777,bi,1.38,17.483,17.340,0.192,0.421,0.074,g
2458190.60441,2018-03-13.1002966,bi,1.38,17.326,17.285,0.211,0.443,0.085,g
